tweet;gender
@GFVara Muy bien señor Vara en el tema de  que a las mujeres nos matan los hombres. es cierto,es misoginia contra nosotras,,un abrazo;1
"@GFVara "" a las mujeres las matamos los hombres por haber nacido mujeres"" .... Conocimientos puede tenerlos cualquiera (Ud. Es médico ), pero el arte de pensar es el regalo más escaso de la naturaleza.” REY FEDERICO II EL GRANDE";1
@GFVara Lo que tienes que apartarte de la ANDALUZA Y DEL FELIPISMO Y ESTAR AL LADO DE PEDRO SANCHEZ. Y DE LAS BASES DEL PARTIDO Y DEJAR LO DE CATALUÑA APARTE SINO SABES QUE. EL PSC TENDRA QUE DEJAR EL PSC DEL PSOE EL QUE TENGA QUE IR AL TRULLO QUE VAYA.;1
@GFVara Ell programa de 4 anoche os dejo a la junta como lo que sois porque no miras lo que ha mandado hacer el TS y derruir la isla de los millonarios y dejar de .mamar al PP Y PREOCUPARTE POR LOS EXTREMEÑOS Y DEJAR A LOS CATALANES EN PAZ QUE DE ELLOS SI VIVÍS;1
@GFVara Exacto. No es un problema q incumbe solo a la mujer. Se necesita un cambio de mentalidad del hombre. Bravo por identificarlo!!;1
@GFVara AUTOBUSES DIGNOS YA!!! Está bien que pidas un tren digno, pero podías preocuparte un poco por la vergüenza de autobuses que tiene LEDA para algunas de sus líneas, como la Mérida-Badajoz, y para la que no hay otra alternativa. AUTOBUSES DIGNOS YA.;1
@GFVara prefiere qué no sé vaya su gente a cumplir con leyes y legislación ambiental.Solución:Desalojo de las casas y qué sea una zona de estudio, conservación y turismo ecológico.Y la indemnización qué la pague quien la firmó. https://t.co/9uJhh7Y2Fj;1
@GFVara @kontencioso https://t.co/hPkqExn14p  ojalá, pues existe la posibilidad legal, si se tiene voluntad, la Consejería de Educación de la Junta de Extremadura retome la senda de la justicia, del sentido común y no deje a tres opositores aprobados de buena fe a la deriva.;1
@GFVara Y sobre todo, viendo hoy el programa de cuatro, un modelo del pelotazo urbanístico, la desvergüenza y la caradura;1
@GFVara ladrón;1
@GFVara ¿Esta viendo usted Cuatro? ¿Se va a demoler la Isla? ¿Quién va a pagar la demolición? Por favor, sea escueto.;1
@GFVara guisa y @GFVara se lo come... eh Vara? a q si Vara? A ti no te quieren los extremeños, están hastos de ti y tus tretas, pasarás a la historia como el peor presidente extremeño https://t.co/J8cAnAua9h;1
@GFVara ha creado una Extremadura en la que puedes ser un pijo que se salta las leyes o alguien cuya única salida es el exilio de su tierra.#enelpuntodemiram4 https://t.co/Ksn5aWffu0;1
@GFVara sabremos alguna vez la verdad sobre este desastre ecológico??  #IslaDeValdecanas https://t.co/KNEU2EoTig;1
@GFVara La Prensa, las Revistas de Prensa..... Internet se las ha cargado.;1
@GFVara Y de muchos ratos de soledad en el baño...;1
@GFVara https://t.co/LWKbUWems2;1
@LaraGarlito @feliperedondom2 Adoctrinamiento no Gracias ni curas ni conventos autogestión.;-1
@AscenGT Hasta Felipe González muestra sus preferencias por Albert Rivera de Ciudadanos a Pedro Sánchez del PSOE, madre mía q hostia os vais a dar por capullos me alegro por el golpe de estado interno q disteis con el diario el país. Lo celebrare;-1
@AscenGT El exministro Celestino Corbacho abandona la militancia del PSC https://t.co/mzsrEyS7Xz … vía @publico_es;-1
"@JAGonzalez_78 ha asegurado hoy que ""no le vamos a consentir ni a Montoro ni a Rajoy jugar con nuestra sanidad, con nuestra educación y con todos los servicios de los que disponen los extremeños y extremeñas"" https://t.co/SkSuYur6mh";1
@LAHCarron @eldiarioes quizás se refería a personas perrunas hembras?? Debería echar un vistazo a la clasificación biológica, por favor!;1
@LAHCarron @EP_Extremadura Tendrán que retratarse la “casta” de la Corrala. Futuro muy halagüeño socialismo+Populismo...;1
@LAHCarron No claro el nunca sabe nada ni tampoco de los que están inculpados ¡por favor periodistasi! Investigar un  poquito que aquí en Extremadura tenéis un FiLON por explotar;1
@LAHCarron Alguien ha matado a alguien!!!🕵🏻‍♀️;1
@LAHCarron Además de #EnchufeSocialista ahora la prioridad del PSOE es cambiar el nombre a las calles. Dicen que el paro y pensionistas pueden esperar... https://t.co/4pLeHnnitq;1
@LAHCarron Y mientras continúan con la colocación de #enchufesSocialistas a los Extremeños les toca soportar... https://t.co/2N0Nhetc1l;1
@Danihife Les he preguntado si me iban a multar y no me han dicho nada en concreto. Ni un SI, ni un NO rotundo.;1
Por supuesto es “ha comenzado” 🙈;1
@alvarojaen2015 Mantén tu palabra... la palabra no tiene precio... https://t.co/dkIkg09AAj;1
@lemusrubiales:”es una humillación ver en #Extremadura vestigios de la barbarie franquista”. https://t.co/62HDw2Uqhn;1
@lemusrubiales:”La ley de #MemoriaHistórica debe cumplirse en todos los municipios de la provincia de Badajoz” https://t.co/Qk7J2Yuaqp;1
@lemusrubiales hace balance de la situación política actual y ha asegurado que la deriva independentista en Cataluña está condenada al fracaso https://t.co/uldlKD06pZ;1
@Fracmac  toma pa tí https://t.co/EfVL4qzgqC;1
@fjmanzanop @larazon_es ¡Gracias amigo!;1
@fjmanzanop @GFVara Si hubiera langostinos y jamón, aguantaba más;1
@BlancaMartinDel De lo mejor que he conocido en política;-1
@mateosnogales Hasta Felipe Gonzalez alias Isidoro habla más con Rivera q con Pedro Sánchez la hostia q os vais a pegar como lo celebraré por capullos.;-1
@mateosnogales El exministro Celestino Corbacho abandona la militancia del PSC https://t.co/mzsrEz9IP7 … vía @publico_es;-1
@mateosnogales Celestino Corbacho alcalde de Hospitalet también se va esto se comporta como era de esperar cuando Ciudadanos os de la puntilla lo celebraremos con Cava de Almendralejo, recordando la frase q me dijo Alejandro el Viejo estos no nos sacan de la OTAN,ni Republica;-1
@mateosnogales Capullos y vos que decís todo el día cascándola, como la Baltasara esa fulana de Castuera que la iba cascadando por todos lados y nos decía niño que tu padre es el que más viene a mi casa.;-1
@mateosnogales @PSOE Vds. que si sigue ZP no solo no cobramos pensiones si no que vamos a dormir a una posada como las que teníamos en Castuera en la post-guerra, y en media Extremadura, que poco conocen vds la realidad de las cosa habla y proponen propuestas inasumibles, que no me toquen mi pensión;-1
@mateosnogales @PSOE No toquéis las pensiones q nos las jodeis como yo lo q manoseais;-1
@mateosnogales  https://t.co/DtOvLSMG3F;-1
@mateosnogales Ahora antes cuando pillaban contratos todas callaban, eso lo he vivido en varias empresas públicas y Ayuntamiento he visto una panda de corruptos impresentables y unas lagartas dispuestas a todo, no vengamos ahora con cuentos hasta Woody Allen hacia lo mismo;-1
@mateosnogales @PSOE Con ZP no tendríamos ni pensiones viviríamos en posada como las q había en Castuera después de la guerra o en Madrid la posada del peine el la calle del Pez, menos mal a Mariano cobramos algo todavía lo sociatas pensiones pa todo posadas pa todos;-1
@Irenirima resalta que estos presupuestos son progresistas gracias a los aportes de Podemos en las diferentes áreas #AnálisisExtra https://t.co/vJK2wP5H8w;-1
@Irenirima  acompaña durante la sesión plenaria del 11 de Enero a la asociación  #ABOFINEX (Asociación de bomberos forestales e incendios de Extremadura) https://t.co/j8wlSvKxg2;-1
@Irenirima cuestiona al Gobierno por las negociaciones que se están llevando a cabo en el marco del Plan de Ordenación de los recursos humanos del Plan INFOEX, debido a la opacidad y falta de transparencia con la que se están llevando a cabo dichas negociaciones. https://t.co/tqq84PjZFC;-1
@AndresMoriano afirma que el anuncio de la puesta en marcha de los Planes Renove es inminente @psoeex. Conoce toda la actualidad sobre  #Extremadura en #RegiónDigital https://t.co/8KRE0q5GIb;1
@JuanParejoFdez https://t.co/QPunjArYMR;1
@JuanParejoFdez @EPExtremadura Y lo negaban por activa y por pasiva... sorpresa!! Mónaco vuelve a tener razón.. https://t.co/mrSZKu0gxC;1
@JuanParejoFdez Vais a durarnos toda la vida jeje;1
@JuanParejoFdez @EP_Extremadura Vaya pandilla, ni contigo ni sin ti. Lo que peor se entiende es que haya gente que vote a estos pelachufas.;1
@JuanParejoFdez @EP_Extremadura Se abstendrán también a la enmienda 208 para financiar Gisvesa??Si lo hacen serán cómplices de financiar los chiringuitos socialistas y #enchufadosdeVara;1
@feliperedondom2 Ya tenéis pa gastar más manirrotos, y subiros los salarios Boludos, que manera de vivir del cuento;1
@feliperedondom2 @GFVara Si que es cierto justo los que se han ido la población activa ha disminuido en 30.000 personas pero el paro no ha bajado Boludo Pelotudo si no que los extremeños han emigrado como yo lo hice 1962 de q sacas pecho Capullo;1
@feliperedondom2 Salvados estamos con vds, después de las experiencias del Isioro y ZP que casi nos deja peor que Venezuela.;1
@feliperedondom2 En Extremadura todo es manifiestamente mejorable hasta la ruina de su propietario, cuando se interviene en la política se termina con la libertad individual y los políticos quieren tajada de tu excedente para vivir ellos del cuento, eso se ve a diario.;1
@feliperedondom2 Extremadura y su reforma agraria y en general, todas las fincas y bienes son manifiestamente mejorable hasta la ruina de su propietario, Señoritos de la política q no habéis cogido una talega de aceitunas Boludos vivís del cuento cuentistas;1
@feliperedondom2 @GFVara El presente pertenece al individuo que el solo tomas decisiones racionales y sabe bien como mejorar y maximizar su utilidad.;1
@feliperedondom2 Sr. Felipe Redondo, qué redondo te ha salido ese zasca jajaja;1
@feliperedondom2 La culpa es del tiempo hay problemas que tienen solución otros no las tienen, otro los resuelve el tiempo por ejemplo la sequía, si queremos arreglar la sequía tendrá que nevar, la culpa es de la nevada que fue excesiva el gobierno no hizo nada;1
@feliperedondom2 Solo hemos perdido 32.000 ciudadanos el pasado año 2016;1
@Sonnenroschen defiende las modificaciones a los #PGEx18: Obligación de la Junta a cumplir las partidas económicas, mayor transparencia en las adjudicaciones, blindaje de partidas sociales de mínimos vitales, mejora de la renta básica, congelación de sueldos de altos cargos. https://t.co/mwWyd24adS;1
@Sonnenroschen valora la propuesta de ley sobre los planes de prevención del consumo bebidas alcohólicas por menores de edad . https://t.co/czyhpqO9C0;1
@EugenioRomeroB defiende que los incentivos a compra de electrodomésticos y muebles sean para PYMES y no las grandes superficies. https://t.co/a7NzUcmdmZ;1
@luisfr_sanchez @eldiarioex No quiero ni pensar donde estarías tú Luis si vejaras a enfermos discapacitados con esa crudeza. Que tremendo!!!;1
@Obedarnaldo Acabo de ver que no te seguía. ¡Soy tu seguidor 1000! 🤣A seguir así en la asamblea! ✊🏽;1
@Obedarnaldo es el primero en responder a @salvemosMontana: 🗣️ 'Si, Apoyo la Lucha de la Plataforma Ciudadana Salvemos la Montaña' 📲 Lee la respuesta: https://t.co/idDURZGWVP #compromiso #política;1
@Obedarnaldo pregunta sobre la filtración de datos a farmaceúticas https://t.co/dmSbX7nX5f;1
@jmrsaponi @Obedarnaldo Y qué pena que haya quien imponga la ideología a las perdonas;1
@jmrsaponi @Obedarnaldo Si todo fuera tan fácil;1
@isabelalbas Si pero le falta una victoria en Catalunya que seria definitiva...lastima del PP. y PSC...A trabajar el tema como sea;-1
@isabelalbas aboga por una gestión más eficaz y eficiente de los recursos sanitarios 💉💊 👴 para evitar los colapsos en urgencias 🏥 https://t.co/jMjPdTX7Od https://t.co/nQYAJFxQg5;-1
"@JAragonAriza @sanchezcastejon No suena mal ;)";1
"@JAragonAriza @sanchezcastejon ¿Qué tal ha ido? ;)";1
@Lucia_Andalucia Es una gran noticia que se defienda el patrimonio de todos. Siguiente paso: la tercera desamortización de la Iglesia;-1
@libertadbenitez actuaciones;-1
@libertadbenitez;-1
@libertadbenitez @soniagaya1 La Consejera demuestra que ha tardado pocos meses en priorizar los votos sobre la defensa de la pública.Nosotros seguiremos luchando por la escuela pública,otros por el puñado de votos.Pero cuidado que a ver si le va pasar como a Susana en las primarias,q se pegò una buena ostia.;-1
@libertadbenitez @soniagaya1 -¿Qué sale en portada el macrojuicio d los EREs?-No pasa nada. Se manda a cocinar a un submarino una encuesta que se realice exclusivamente en distritos/barrios que le sean favorables, y ala! Aquí no pasa nada! Ya pueden  caer todos los techos de todos los coles!;-1
@martabosquet  Solicitud reunión realizada.... Ahora falta que le pongáis lugar, día, y hora.;-1
@martabosquet pedirá a la Junta ayudas para los afectados por los tornados del Poniente https://t.co/GCa4DfB2GP;-1
@martabosquet @Cs_Andalucia el trabajo que hacéis que además es ejemplo para nosotros. Enhorabuena!!;-1
@CarmenCrespoPP Cuando pase por Linares lléguese por el geriátrico  hace tiempo invite a Juanma y no viene. Aquí tienen una prueba de como funcionan los centros de la junta y como esta el personal, quemadísimo, nos tienen a mínimos a veces 2 por la tarde pa 40 residentes dependie;-1
@JdMJerez Es la Loles?;1
@susanadiaz De cariño no, no sabes diferenciar el peloteo del cariño;-1
@susanadiaz Y la guitarra de Cazorla ehhh? 😄😄😄 Te la mereces 😍;-1
@susanadiaz ¿Más empleo de calidad con el turismo?¿Camarer@s y asimilados?Será más empleo, pero de calidad ya menos.Eres capaz de ser más cuñada que Rivera, todo lo malo se pega.😎😎;-1
@susanadiaz Lo.mejor es que se puede pedir online. Gracias por tanto, Presidenta.;-1
"@susanadiaz @IDEAJunta ""Váyase"" Sra. Díaz, sinvergüenza, a declarar ante la justicia.";-1
@susanadiaz Tu no creas empleo ni en sueños, eres la peor socialista de la historia del partido. Querias comerte a Pedro y Pedro te ha comido a ti;-1
@susanadiaz Si los del sector turistico trabajamos mas nos salen los globos oculares por los sobacos. A ver si trabajáis vosotros. Plus;-1
@susanadiaz Mientras Granada esté bloqueada vía tren, gracias a tu pasividad y tú ineptitud no se podrá conseguir tu récord. Granada está a la cabeza de interés turístico, Erasmus, etc. Pero le hace la competencia a Triana Sevilla y eso no lo aguantas. Vete ya @susanadiaz, inepta.;-1
@susanadiaz Menos fitur y más pasarte por las urgencias de tu sanidad , Andalucia imparable con Susana la de la botellona ni ni https://t.co/9YOYvHOgqP;-1
@susanadiaz Fitur https://t.co/OltwPKK7BL;-1
@susanadiaz Empieza por cuidar la sanidad y educación públicas. No se puede vivir solo del turismo;-1
